Timestamp_Seconds,Delta,Instant_Velocity,Smoothed_Velocity,Gesture_Type,App_Offset,App_Target,App_Velocity
0.2183,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2204,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2213,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2246,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.2267,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2294,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2322,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2348,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2368,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2416,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.2436,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2465,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2486,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2506,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2536,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2563,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.2581,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2610,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2633,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2653,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2673,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2703,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2714,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.2740,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2806,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2826,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2857,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2877,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2886,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.2906,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2934,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2964,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2987,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3007,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3032,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.3063,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3078,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3106,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3126,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3157,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3201,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.3227,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3238,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3285,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3305,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3337,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.3367,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3398,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3418,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3438,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3458,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3490,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3500,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.3526,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3566,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3586,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3608,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3638,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3659,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.3679,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3718,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3738,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3765,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3785,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3805,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3825,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.3840,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3871,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3885,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3916,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3926,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.3981,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.4001,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4031,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4056,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4081,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4104,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4124,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.4152,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4172,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4192,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4222,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4244,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4266,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4276,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.4309,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4328,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4350,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4369,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4399,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4410,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4441,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.4466,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4483,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4503,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4523,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4543,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4563,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4589,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.4619,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4644,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4675,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4694,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4724,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4745,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.4768,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4788,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4803,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4828,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4851,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4875,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4895,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4915,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.4934,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4961,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.4978,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5008,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5028,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5048,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5068,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.5088,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5109,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5129,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5149,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5169,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5189,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5209,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5220,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.5249,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5268,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5299,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5321,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5340,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5386,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.5396,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5426,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5436,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5456,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5478,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5508,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5528,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.5557,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5578,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5600,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5620,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5645,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5661,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5681,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.5711,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5731,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5747,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5768,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5789,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5808,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5829,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5844,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.5864,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5884,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5930,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5950,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.5970,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.6055,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.6295,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.6396,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.6556,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.6671,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.6701,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.6721,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.6748,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.6758,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.6788,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.6828,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.6861,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.6886,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.6916,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.6938,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.6974,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.7023,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7194,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.7224,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7330,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.7365,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7495,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.7525,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7585,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.7616,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7657,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7667,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7693,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7732,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.7768,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7798,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7828,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7853,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7889,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.7938,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.7969,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8001,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8020,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8080,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.8116,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8146,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8166,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8200,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.8240,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8265,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8285,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8315,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8336,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8359,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.8399,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8419,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8449,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8484,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8497,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.8517,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8556,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8592,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8612,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8632,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8657,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.8697,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8717,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8773,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8792,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8813,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.8850,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8890,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8910,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8930,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.8969,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.8998,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9039,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9069,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9090,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9115,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9135,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
